day	time	size	price	sign
2	40145.355	100	510	1
2	40236.266	200	510	1
2	40237.309	100	509.96	-1
2	40238.016	100	509.96	-1
2	40238.02	100	509.92	-1
2	40238.023	1	509.79	-1
2	40245.555	5	509.85	1
2	40245.555	95	510	1
2	40245.555	5	510	1
2	40245.555	91	510	1
2	40245.555	9	510	1
2	40253.512	100	509.95	-1
2	40295.516	94	509.56	-1
2	40295.516	6	509.56	-1
2	40295.516	94	509.5	-1
2	40295.523	100	509.5	-1
2	40295.523	181	509.5	-1
2	40295.531	125	509.5	-1
2	40295.531	75	509.5	-1
2	40295.531	25	509.5	-1
2	40295.531	100	509.44	-1
2	40295.531	100	509.43	-1
2	40295.531	6	509.41	-1
2	40295.531	94	509.4	-1
2	40295.535	6	509.4	-1
2	40307.336	69	509.56	-1
2	40307.336	100	509.57	-1
2	40307.336	31	509.56	-1
2	40307.336	100	509.56	-1
2	40307.336	100	509.56	-1
2	40324.438	100	509.13	-1
2	40326	16	509.12	-1
2	40359.742	100	509.53	1
2	40359.742	100	509.53	1
2	40359.742	100	509.53	1
2	40359.75	100	509.56	1
2	40359.961	200	509.38	1
2	40359.961	100	509.54	1
2	40360.277	2	509.57	1
2	40392.609	4	509.59	1
2	40434.672	2	509.42	-1
2	40434.691	84	509.28	-1
2	40493.695	45	509.63	1
2	40493.695	5	509.495	1
2	40523.523	14	509.43	-1
2	40544.012	6	509.43	-1
2	40544.012	80	509.43	-1
2	40557.719	16	509.45	1
2	40557.848	100	509.44	-1
2	40557.848	4	509.39	-1
2	40557.941	16	509.39	-1
2	40557.941	80	509.39	-1
2	40557.941	100	509.31	-1
2	40557.941	6	509.29	-1
2	40557.941	14	509.26	-1
2	40557.941	6	509.28	-1
2	40557.945	8	509.25	-1
2	40557.945	86	509.26	-1
2	40557.945	100	509.44	1
2	40557.945	100	509.44	-1
2	40557.949	50	509.44	-1
2	40566.137	14	509.29	-1
2	40567.859	100	509.28	-1
2	40567.875	82	509.25	-1
2	40567.875	10	509.25	-1
2	40568.012	70	509.38	1
2	40587.926	6	509.6	1
2	40587.926	60	509.6	1
2	40587.926	100	509.6	1
2	40587.926	34	509.6	1
2	40587.926	100	509.66	1
2	40587.926	66	509.66	1
2	40587.926	15	509.68	1
2	40587.926	15	509.69	1
2	40587.926	15	509.7	1
2	40587.926	34	509.68	1
2	40604.648	4	509.455	1
2	40623.613	4	509.52	-1
2	40623.613	96	509.52	-1
2	40627.438	79	509.32	-1
2	40654.996	1	509.47	-1
2	40654.996	100	509.47	-1
2	40655.133	100	509.31	-1
2	40655.141	30	509.3	-1
2	40655.141	70	509.3	-1
2	40658.645	1	509.43	1
2	40658.688	70	509.43	1
2	40658.688	29	509.43	1
2	40658.688	71	509.43	1
2	40658.688	100	509.43	1
2	40658.688	29	509.43	1
2	40675.414	6	509.4	-1
2	40675.414	34	509.4	-1
2	40723.805	5	509.53	1
2	40729.008	17	509.18	-1
2	40729.008	83	509.15	-1
2	40729.012	17	509.15	-1
2	40729.016	10	509.09	-1
2	40751.309	100	509.67	1
2	40768.418	100	509.55	1
2	40778.02	6	509.42	-1
2	40778.02	94	509.42	-1
2	40780.16	75	509.27	-1
2	40795.063	100	509.43	1
2	40796.34	100	509.24	-1
2	40800.047	4	509.56	1
2	40800.047	96	509.56	1
2	40800.047	4	509.56	1
2	40800.531	100	509.51	1
2	40875.387	100	509.7	-1
2	40901.93	4	509.27	-1
2	40901.938	46	509.27	-1
2	40959.375	100	509.12	-1
2	40965.559	100	509	-1
2	40965.566	5	508.86	-1
2	41004.316	4	509.1	1
2	41016.902	100	509.02	1
2	41016.93	4	509	-1
2	41016.934	54	509	-1
2	41016.934	100	509	-1
2	41016.934	100	509	-1
2	41016.934	100	509	-1
2	41016.934	100	509	-1
2	41016.934	100	509	-1
2	41016.949	2	509	-1
2	41017.449	100	509.02	1
2	41017.887	126	509	-1
2	41018.09	100	509	-1
2	41018.402	100	509	-1
2	41018.48	200	509	-1
2	41018.68	100	509	-1
2	41019.496	27	509	-1
2	41019.496	28	509	-1
2	41019.496	21	509	-1
2	41019.504	100	509	-1
2	41019.504	268	509	-1
2	41019.543	300	509	-1
2	41019.543	70	509	-1
2	41019.582	11	508.86	-1
2	41020.426	100	508.74	-1
2	41046.988	84	508.74	1
2	41058.93	25	509	1
2	41058.93	75	508.97	1
2	41058.93	32	509	1
2	41058.93	32	509	1
2	41058.93	11	509	1
2	41059.691	89	508.93	1
2	41059.699	68	508.93	1
2	41059.699	12	509.13	1
2	41059.699	13	509.13	1
2	41059.699	43	508.93	1
2	41065.316	10	509.15	1
2	41069.258	100	509.15	1
2	41070.289	10	509.19	1
2	41070.289	90	509.15	1
2	41070.289	13	509.19	1
2	41070.289	168	509.19	1
2	41070.289	9	509.19	1
2	41091.805	100	508.92	-1
2	41091.805	100	508.86	-1
2	41091.805	100	508.86	-1
2	41091.805	200	508.86	-1
2	41091.809	100	508.86	-1
2	41091.809	100	508.86	-1
